"group_id","n_markers_total","n_markers_tested","n_markers_pass","mean_median_difference","max_pf_overlap","sample_adt_status"
"DBO-01-1",3,3,1,0.981193773291853,1,"ADT_suspicious"
"DBO-01-2",3,3,2,1.73456562239235,0.381679389312977,"ADT_ok"
"DBO-01-3",3,3,2,1.28756974493873,0.356102003642987,"ADT_ok"
"DBO-01-4",3,3,1,0.904976044382889,0.510774142059058,"ADT_suspicious"
"DBO-02-5",3,3,2,1.70550049600035,0.261333333333333,"ADT_ok"
"DBO-02-6",3,0,0,NA,NA,"ADT_not_testable"
"DBO-02-7",3,3,3,1.81237765137218,0.0466786355475763,"ADT_ok"
"DBO-03",3,3,2,1.787590780491,0.328538102643857,"ADT_ok"
"DBO-04",3,3,1,1.1371253961044,0.529638554216867,"ADT_suspicious"
"DBO-05",3,3,1,1.18057279427936,0.52969742248786,"ADT_suspicious"
"DBO-06",3,3,2,0.617422597780146,1,"ADT_ok"
"DBO-09",3,3,0,0.447630761196424,1,"ADT_suspicious"
"DBO-10",3,3,1,0.883973009744862,0.564516129032258,"ADT_suspicious"
